,,,,,,,,,,,,,,,,
,,TRIAL BALANCE,,,,,,,,,TRIAL BALANCE,,,,,
,,JANUARI 2024,,,,,,,,,FEBRUARI 2024,,,,,
,,,,,,,,,,,,,,,,
,No Akun,Name Account,Ref,Beg Balance,Debit,Credit,End Balance,,,No Akun,Name Account,Ref,Beg Balance,Debit,Credit,End Balance
,1101,Cash / Bank,BS,0.00,"50,000,000,000.00","28,759,050,000.00","21,240,950,000.00",,,1101,Cash / Bank,BS,"21,240,950,000.00","51,001,920,000.00","37,064,455,000.00","35,178,415,000.00"
,1102,Deposito,BS,0.00,0.00,0.00,0.00,,,1102,Deposito,BS,0.00,"30,000,000,000.00",0.00,"30,000,000,000.00"
,1103,AR Trade Local – Non Related Parties,BS,0.00,"856,920,000.00",0.00,"856,920,000.00",,,1103,AR Trade Local – Non Related Parties,BS,"856,920,000.00","7,067,758,500.00","856,920,000.00","7,067,758,500.00"
,1104,Inventory – Finished Goods,BS,0.00,0.00,"350,000,000.00","-350,000,000.00",,,1104,Inventory – Finished Goods,BS,"-350,000,000.00",0.00,"1,911,000,000.00","-2,261,000,000.00"
,1105,Inventory – Raw Material,BS,0.00,"2,675,000,000.00",0.00,"2,675,000,000.00",,,1105,Inventory – Raw Material,BS,"2,675,000,000.00","10,200,000,000.00",0.00,"12,875,000,000.00"
,1106,Prepaid Insurance,BS,0.00,"120,000,000.00","10,000,000.00","110,000,000.00",,,1106,Prepaid Insurance,BS,"110,000,000.00",0.00,"10,000,000.00","100,000,000.00"
,1107,Prepaid Other Expense,BS,0.00,"60,000,000.00","5,000,000.00","55,000,000.00",,,1107,Prepaid Other Expense,BS,"55,000,000.00",0.00,"5,000,000.00","50,000,000.00"
,1108,Prepaid VAT In,BS,0.00,"4,224,220,000.00",0.00,"4,224,220,000.00",,,1108,Prepaid VAT In,BS,"4,224,220,000.00","2,246,585,000.00",0.00,"6,470,805,000.00"
,1109,Advance Payment – Others,BS,0.00,0.00,0.00,0.00,,,1109,Advance Payment – Others,BS,0.00,"35,000,000.00","35,000,000.00",0.00
,1201,Fixed Asset – Building,BS,0.00,"25,000,000,000.00",0.00,"25,000,000,000.00",,,1201,Fixed Asset – Building,BS,"25,000,000,000.00",0.00,0.00,"25,000,000,000.00"
,1202,Fixed Asset – Machinery,BS,0.00,"7,500,000,000.00",0.00,"7,500,000,000.00",,,1202,Fixed Asset – Machinery,BS,"7,500,000,000.00","10,000,000,000.00",0.00,"17,500,000,000.00"
,1203,Fixed Asset – Factory Equipment,BS,0.00,"2,000,000,000.00",0.00,"2,000,000,000.00",,,1203,Fixed Asset – Factory Equipment,BS,"2,000,000,000.00",0.00,0.00,"2,000,000,000.00"
,1204,Fixed Asset – Vehicle,BS,0.00,"550,000,000.00",0.00,"550,000,000.00",,,1204,Fixed Asset – Vehicle,BS,"550,000,000.00",0.00,0.00,"550,000,000.00"
,1205,Fixed Asset – IT Equipment,BS,0.00,"162,000,000.00",0.00,"162,000,000.00",,,1205,Fixed Asset – IT Equipment,BS,"162,000,000.00",0.00,0.00,"162,000,000.00"
,1206,Fixed Asset – Office Equipment,BS,0.00,"15,000,000.00",0.00,"15,000,000.00",,,1206,Fixed Asset – Office Equipment,BS,"15,000,000.00",0.00,0.00,"15,000,000.00"
,1207,Intangible Asset,BS,0.00,"200,000,000.00",0.00,"200,000,000.00",,,1207,Intangible Asset,BS,"200,000,000.00",0.00,0.00,"200,000,000.00"
,1301,Accumulated Depreciation – Building,BS,0.00,0.00,"104,166,666.67","-104,166,666.67",,,1301,Accumulated Depreciation – Building,BS,"-104,166,666.67",0.00,"104,166,666.67","-208,333,333.33"
,1302,Accumulated Depreciation – Machine,BS,0.00,0.00,"78,125,000.00","-78,125,000.00",,,1302,Accumulated Depreciation – Machine,BS,"-78,125,000.00",0.00,"182,291,666.67","-260,416,666.67"
,1303,Accumulated Depreciation – Factory Equipment,BS,0.00,0.00,"41,666,666.67","-41,666,666.67",,,1303,Accumulated Depreciation – Factory Equipment,BS,"-41,666,666.67",0.00,"41,666,666.67","-83,333,333.33"
,1304,Accumulated Depreciation – Vehicle,BS,0.00,0.00,"9,166,666.67","-9,166,666.67",,,1304,Accumulated Depreciation – Vehicle,BS,"-9,166,666.67",0.00,"9,166,666.67","-18,333,333.33"
,1305,Accumulated Depreciation – IT Equipment,BS,0.00,0.00,"3,375,000.00","-3,375,000.00",,,1305,Accumulated Depreciation – IT Equipment,BS,"-3,375,000.00",0.00,"3,375,000.00","-6,750,000.00"
,1306,Accumulated Depreciation – Office Equipment,BS,0.00,0.00,"312,500.00","-312,500.00",,,1306,Accumulated Depreciation – Office Equipment,BS,"-312,500.00",0.00,"312,500.00","-625,000.00"
,1307,Accumulated Amortization – Intangible,BS,0.00,0.00,"4,166,666.67","-4,166,666.67",,,1307,Accumulated Amortization – Intangible,BS,"-4,166,666.67",0.00,"4,166,666.67","-8,333,333.33"
,2101,AP Trade Local – Non Related Parties,BS,0.00,0.00,"2,969,250,000.00","-2,969,250,000.00",,,2101,AP Trade Local – Non Related Parties,BS,"-2,969,250,000.00","2,969,250,000.00","11,322,000,000.00","-11,322,000,000.00"
,2102,Other Payable – Non Related Parties,BS,0.00,"194,050,000.00","11,974,670,000.00","-11,780,620,000.00",,,2102,Other Payable – Non Related Parties,BS,"-11,780,620,000.00","1,246,520,000.00","11,414,800,000.00","-21,948,900,000.00"
,2103,Art 21 Payable,BS,0.00,0.00,"55,000,000.00","-55,000,000.00",,,2103,Art 21 Payable,BS,"-55,000,000.00","55,000,000.00","125,000,000.00","-125,000,000.00"
